unique_id,normalization
work:W.0672,Lettere De’morti A’vivi
work:W.0673,Lettere Di Sofronia
work:W.0674,Lettere Persiane
work:W.0675,"Letters, Book Ii, Letter 1"
work:W.0676,Lettre Sur Les Anglois
work:W.0677,Lettres
work:W.0678,Lettres Athéniennes
work:W.0679,Lettres De Mme. De Sévigné
work:W.0680,Lettres Escrites Par Monsieur Le Comte De La Chapelle A Diverses Personnes La Veille De Sa Mort
work:W.0681,Lettres Galantes De Monsieur Le Chevalier D’her * * *
work:W.0682,Lettres Galantes Du Chevalier D’her***
work:W.0683,"Lettres Galantes Et Philosophiques, Par Mademoiselle De * * *"
work:W.0684,Lettres Judaїques
work:W.0685,Lettres Pastorales De Monseigneur L'évêque De Londres Aux Fidèles De Son Diocèse
work:W.0686,Lettres Persanes
work:W.0687,Lettres Provinciales
work:W.0688,Lettres Écrites Par Louis De Montalte À Un Provincial De Ses Amis Et Aux R.R. Pères Jésuites
work:W.0689,Levitikus
work:W.0690,Lib Xi. C. 2
work:W.0691,Lib. 2 In Ruf
work:W.0692,"Lib. 21, Cap. I."
work:W.0693,Lib. I. Cap. 3
work:W.0694,Lib. Iii. C. 65
work:W.0695,Lib. Iii. Ch. 8
work:W.0696,Lib. X. Cap. 50
work:W.0697,"Lib. Xv, Ch. 5, Del’esclavage Dei Nègres"
work:W.0698,"Liber Fabularum, Book Iii"
work:W.0699,Liberté De Penser
work:W.0700,Libri
work:W.0701,Libro
work:W.0702,Libro D’oro
work:W.0703,Livre Des Bons Mots
work:W.0704,Livre Des Martyrs
work:W.0705,Lob Des Demosthenes
work:W.0706,Logique En Forme D'entretiens
work:W.0707,London Chronicle
work:W.0708,Los Dos Presos
work:W.0709,Los Eruditos A La Violeta
work:W.0710,Los Menestrales
work:W.0711,Love For Love
work:W.0712,Lumi
work:W.0713,Lux Orientalis
work:W.0714,Lysis
work:W.0715,L’abregé D’ L’ Education
work:W.0716,L’almanach De La St Jean
work:W.0717,L’amore Di Dio
work:W.0718,L’amour Produit L’amour
work:W.0719,L’année Littéraire
work:W.0720,L’arithmetique
work:W.0721,L’art Poétique
work:W.0722,L’arte Del Tacere
work:W.0723,L’association Des Idées
work:W.0724,L’astrée
work:W.0725,L’atalia
work:W.0726,"L’autre Jour Colin Malade, &c"
work:W.0727,L’avare
work:W.0728,L’avare Amoureux
work:W.0729,L’avare Ou L’école Du Mensonge
work:W.0730,L’ecriture Sainte
work:W.0731,L’education Des Gens De Qualité
work:W.0732,L’eloquence Du Tems
work:W.0733,L’eloquence Du Tems Par Mr...De L’académie Françoise
work:W.0734,L’esame Dell’esame
work:W.0735,L’esprit Des Lois
work:W.0736,L’eunuque
work:W.0737,L’europe Galante
work:W.0738,"L’habitant De La Guadeloupe, Comédie En Trois Actes"
work:W.0739,L’histoire Ancienne
work:W.0740,L’histoire De Gil Blas De Santillane
work:W.0741,L’histoire Naturelle Du Comté De Strafford
work:W.0742,"L’histoire Naturelle, Générale Et Particulière Avec La Description De Cabinet Du Roy"
work:W.0743,L’homme Démasqué
work:W.0744,L’homme Machine
work:W.0745,L’innocent Adultere
work:W.0746,L’innocenza Vendicata
work:W.0747,L’inquisiteur
work:W.0748,L’isle Des Goulus
work:W.0749,L’observateur Littéraire
work:W.0750,L’oceana
work:W.0751,L’oracle
work:W.0752,L’orpheline
work:W.0753,L’unzione Del Reale Profeta Davidde
work:W.0754,L’école Des Femmes
work:W.0755,Macbeth
work:W.0756,Machabées
work:W.0757,Mahomet Der Prophet
work:W.0758,Manni
work:W.0759,Mariages Persans
work:W.0760,Mariamne
work:W.0761,Marianna
work:W.0762,Marianne
work:W.0763,Marot
work:W.0764,"Marte, E Amore"
work:W.0765,Marzocco
work:W.0766,Massime Cinesi
work:W.0767,Maximes
work:W.0768,Medea A Giasone
work:W.0769,Medicina Gymnastica
work:W.0770,Medico A Suo Dispetto
work:W.0771,Memorab.
work:W.0772,Memorias Destructivas
work:W.0773,Menschenhass Und Reue
work:W.0774,Mercure
work:W.0775,Mercures Galants
work:W.0776,Mercurio De España
work:W.0777,"Met., Lib. 15"
work:W.0778,Metamorphoses
work:W.0779,Metodo
work:W.0780,Mezenzio
work:W.0781,Mille & Une Nuit
work:W.0782,Minuetto
work:W.0783,Misanthrope
work:W.0784,Misantropo
work:W.0785,Misantropía
work:W.0786,Mithridate
work:W.0787,Mondo Ben Perduto
work:W.0788,Mondo Morale
work:W.0789,Monsieur De Pourceaugnac
work:W.0790,Moreto
work:W.0791,Morgante
work:W.0792,Moribus Antiquis
work:W.0793,Morta Di Cesare
work:W.0794,Morte D’abelle
work:W.0795,Méchant
work:W.0796,Médée
work:W.0797,Mémoires De La Baronne De Saint-clair
work:W.0798,Mémoires De La Mer Mediterranée
work:W.0799,Mémoires De La Nouvelle Atlantide
work:W.0800,Mémoires De Mme. Du Noyer
work:W.0801,Mémoires Du Comte De Grammont
work:W.0802,Mémoires Pour Servir À L’histoire De La Vertu: Extraits Du Journal D'une Jeune Dame
work:W.0803,Ménagiana
work:W.0804,Nanine
work:W.0805,"Naturalis Historia, Book Vii"
work:W.0806,Navigazione D’enea
work:W.0807,Nazoli
work:W.0808,Nelle Carte De’miei Confratelli Pellegrini
work:W.0809,Nephelai
work:W.0810,New Testament
work:W.0811,Nitétis
work:W.0812,Notte Critica
work:W.0813,Notte Critica Per Introduzione Alle Recite Autunnali Dell’anno 1760
work:W.0814,Nouveau Choix De Poesies Morales Et Chrétiennes
work:W.0815,Nouveau Diogène
work:W.0816,"Nouveautés Dediées À Gens De Differens Etats, Depuis La Charruë Jusqu'au Sceptre"
work:W.0817,Nouveaux Essais De Morale
work:W.0818,Nouvelles Considérations Sur L’histoire.
work:W.0819,Nouvelles De La République Des Lettres
work:W.0820,"Nouvelles D’antoine-françois Grazzini, Dit Le Lasca"
work:W.0821,Nova Atlantis
work:W.0822,Novella Orientale
work:W.0823,Novelle Morali
work:W.0824,Nozze Di Dorina
work:W.0825,Nuovo Segreto
work:W.0826,O Imitatores
work:W.0827,"Observations Sur La Société, Et Sur Les Moyens De Ramener L’ordre Et La Sécurité Dans Son Sein"
work:W.0828,Ode
work:W.0829,"Ode Au Créateur De L’univers, À L’occasion Des Fragmens D’orpheé"
work:W.0830,Ode Du Jubilé
work:W.0831,Ode Sur La Mort
work:W.0832,Ode Sur La Prise De Namur
work:W.0833,Ode À La Fortune
work:W.0834,Oden
work:W.0835,Odes Anacréontiques
work:W.0836,Odes Pindariques
work:W.0837,Odes Sacrées
work:W.0838,Odes À La Glace
work:W.0839,Odyssey
work:W.0840,Oedipus
work:W.0841,Oeuvres Posthumes
work:W.0842,Oidipus In Kolonos
work:W.0843,Old Testament
work:W.0844,Omelie
work:W.0845,Oraison Funebre De Torsac
work:W.0846,Orator
work:W.0847,Orazioni
work:W.0848,Oreste
work:W.0849,Orfano Della Cina
work:W.0850,Orlando
work:W.0851,Oroonoko : Or The Southern Slave
work:W.0852,Orpheus Und Eurydike
work:W.0853,Os Lusíadas
work:W.0854,Osservatore
work:W.0855,Otaiti
work:W.0856,Othello
work:W.0857,Ovvero Vite De’più Bizzarri
work:W.0858,"P. I., S. 208."
work:W.0859,Pablo Y Virginia
work:W.0860,Padre Amoroso
work:W.0861,Palamon And Arcite
work:W.0862,Pamela
work:W.0863,Pane
work:W.0864,Panurge
work:W.0865,Paradise Lost
work:W.0866,Paraiso
work:W.0867,Parallele Des Anciens & Des Modernes
work:W.0868,Paraphrase Sur L’histoire De Susanne
work:W.0869,Parc De Newgate
work:W.0870,Parfait Maquignon
work:W.0871,Pazza Per Amore
work:W.0872,"Pensées De Cicéron, Traduites, Pour Servir À L'éducation De La Jeunesse"
work:W.0873,"Pensées De Sénèque, Recueillies Par M. Angliviel De La Beaumelle"
work:W.0874,Pensées Diverses Sur La Comète
work:W.0875,Pensées Ingénieuses Des Peres De L’eglise
work:W.0876,Pensées Philosophiques
work:W.0877,"Pestilentia Hippocrates, Qui Omnia Novit"
work:W.0878,Phaenomena
work:W.0879,Pharamond
work:W.0880,Pharsale
work:W.0881,Phaëton
work:W.0882,"Philaster, Or Love Lies A Bleeding"
work:W.0883,Philosophe Nouvelliste
work:W.0884,Philosophiae Naturalis Principia Mathematica
work:W.0885,Phèdre
work:W.0886,Phœnix
work:W.0887,Pindare Aux Enfers
work:W.0888,Pirro E Demetrio
work:W.0889,Pièces Choisies De Nos Meilleurs Poëtes
work:W.0890,Plaintes De Melpomene
work:W.0891,"Pleyto De Hernán Cortés, Con Pánfilo De Narvaez"
work:W.0892,Plutos
work:W.0893,Politeia
work:W.0894,Polyanthea
work:W.0895,Pomone
work:W.0896,Pompe Funèbre
work:W.0897,Poème Sur La Loi Naturelle
work:W.0898,Poème Sur Le Désastre De Lisbonne
work:W.0899,Poëme De La Chartreuse
work:W.0900,"Poëme Sur La Présente Posture Des Affaires, Ou Un Tour Dans Le Nord"
work:W.0901,Practical Christianity
work:W.0902,Principe
work:W.0903,Principes Du Droit De La Nature Et Des Gens
work:W.0904,Pro Arch.
work:W.0905,Prop. Lib. 2
work:W.0906,Prophetiae Evangelicae Ac Mors Isajae
work:W.0907,Prophétes Modernes
work:W.0908,Proverbios Morales
work:W.0909,Purgatorio. Canto Iii.
work:W.0910,Pénélope
work:W.0911,"Quattro Elegantissime Egloghe Rusticali, Ora La Prima Volta Poste Insieme, E Con Diligenza Stampate"
work:W.0912,Quinte-curce
work:W.0913,Ragionamento Sopra I Mezzi Per Far Rifiorire L’agricoltura
work:W.0914,Raisons Pour Dissuader Les Gens D’aller À La Comedie
work:W.0915,Rappresentazione
work:W.0916,Rasgo Poético
work:W.0917,Raub Der Persephone
work:W.0918,Recettes De La Comtesse
work:W.0919,Recherche De La Verité
work:W.0920,Recueil Des Meilleures Pièces De Poësie
work:W.0921,Reflexions Sur Le Savoir
work:W.0922,Reflexîones Sobre La Verdadera Significacion De La Voz Práctica En La Medicina
work:W.0923,Regia Parnassi
work:W.0924,Regles Pour La Conduite De L’esprit
work:W.0925,Reguini
work:W.0926,Reine Enchanteresse
work:W.0927,Religio Laici
work:W.0928,Religio Medici
work:W.0929,Remedia Amoris
work:W.0930,Rhadamiste Et Zénobie
work:W.0931,Rhetorica Ad Herennium
work:W.0932,Riccardo Terzo
work:W.0933,Riccio Rapito
work:W.0934,Rime Burlesche
work:W.0935,Rodogune
work:W.0936,Rolands
work:W.0937,Roman Comique
work:W.0938,Romeo And Juliet
work:W.0939,Romulus
work:W.0940,Roy Du Pont
work:W.0941,Rudimentos Chronologicos
work:W.0942,Ruf.
work:W.0943,Rules And Orders Of The Society Established At London For The Encouragement Of Arts Manufactures And Commerce
work:W.0944,"Réflexions Désintéressées Sur La Constitution Du Pape Clément Xi, Qui Condamne Le Nouveau Testament Du Père Quesnel"
work:W.0945,Réflexions Ou Sentences Et Maximes Morales
work:W.0946,Réflexions Sur Les Grands Hommes Qui Sont Morts En Plaisantant
work:W.0947,Régles Pour L’observation Du Carême
work:W.0948,Répétition
work:W.0949,S. 6.
work:W.0950,S. Marco
work:W.0951,"Saffo, Ossia I Riti Di D’apollo Leucadio"
work:W.0952,Saggi Cap. Xxxiv.
work:W.0953,Saggio Sull’uomo
work:W.0954,Sagra Scrittura
work:W.0955,Saint Loüis
work:W.0956,Samson Aconiste’s
work:W.0957,Sancho Ortíz De Las Roelas
work:W.0958,Sat. X Lib. I.
work:W.0959,"Sat., I."
work:W.0960,Satirae
work:W.0961,Satire X
work:W.0962,Satiren Vi.
work:W.0963,Satires
work:W.0964,Saturae
work:W.0965,Satyre De L’honneur
work:W.0966,Satyricon
work:W.0967,Scuole D’atene
work:W.0968,Secchia Rapita
work:W.0969,Semanario De Agricultura Y Artes
work:W.0970,Semiramide
work:W.0971,Senofonte
work:W.0972,Sermoni
work:W.0973,Serse
work:W.0974,"Sethos, Histoire, Ou Vie Tirée Des Monumens, Anecdotes De L'ancienne Égypte, Traduite D'un Manuscrit Grec"
work:W.0975,Sigismond And Guiscardo
work:W.0976,Sileno
work:W.0977,Sofia
work:W.0978,Somnium Scipionis
work:W.0979,Sonetto
work:W.0980,Sophonisbe
work:W.0981,Sot Vengé
work:W.0982,Spectateur
work:W.0983,Spectateur Français
work:W.0984,Spectator
work:W.0985,Spettatore
work:W.0986,Spettatore Italiano
work:W.0987,Spettatore Italiano-piemontese
work:W.0988,Spettatrice
work:W.0989,Sposa In Lutto
work:W.0990,St. Barthelemi
work:W.0991,Stichus
work:W.0992,Storia Critica Della Filosofia
work:W.0993,"Storia Della Vita, E Della Morte"
work:W.0994,Storia Ecclesiastica Di Monsignor Antonio Godeau Vescovo E Signor Di Vence
work:W.0995,Supplement À La Gazette De Bruxelle
work:W.0996,Supposes
work:W.0997,Sur La Priere
work:W.0998,Sur Le Baptême Des Petits Enfans
work:W.0999,Sur L’apocalypse
work:W.1000,Syrene
work:W.1001,Systema Naturae
work:W.1002,Système De La Nature Ou Des Loix Du Monde Physique Et Du Monde Moral
work:W.1003,Talmud
work:W.1004,Tariffa Delle Gabelle Toscane
work:W.1005,Tartuffe Ou L’imposteur
work:W.1006,Te Deum
work:W.1007,Tebaide
work:W.1008,Telemaco
work:W.1009,Temi Veneta
work:W.1010,Tempore Julii Cæsaris
work:W.1011,The Alchemist
work:W.1012,The Athenian Mercury
work:W.1013,The British Apollo
work:W.1014,"The Complaint: Or, Night-thoughts On Life, Death, & Immortality"
work:W.1015,The Countess Of Pembroke’s Arcadia
work:W.1016,The Country Wife
work:W.1017,The Court Secret
work:W.1018,The Creation
work:W.1019,The Daily Courant
work:W.1020,The Death of Abel
work:W.1021,The Death of Adam
work:W.1022,The Discontented Colonel
work:W.1023,The Doubtful Heir
work:W.1024,The Examiner
work:W.1025,"The Fable Of The Bees: Or, Private Vices, Publick Benefits"
work:W.1026,The Fall Of Tarquin
work:W.1027,The Fox
work:W.1028,The Guardian
work:W.1029,The History And Fall Of Caius Marius
work:W.1030,The History Of England
work:W.1031,The History Of England During The Reigns Of The Royal House Of Stuart
work:W.1032,The History Of The Rebellion And Civil Wars In England Begun In The Year 1641
work:W.1033,The Indian Emperour
work:W.1034,The Knight Of The Burning Pestle
work:W.1035,The Laws Of Candy
work:W.1036,The Medley
work:W.1037,The Mourning Bride
work:W.1038,The Natural History Of Staffordshire
work:W.1039,The New Atalantis
work:W.1040,"The Orphan, Or The Unhappy Marriage"
work:W.1041,"The Play Called The Foure Pp; A Newe And A Very Mery Interlude Of A Palmer, A Pardoner, A Potycary, A Pedler"
work:W.1042,The Pleasures Of The Imagination
work:W.1043,The Provoked Husband Or A Journey To London
work:W.1044,The Rape Of The Lock
work:W.1045,The Recruiting Officer
work:W.1046,"The Rival Queens, Or The Death Of Alexander The Great"
work:W.1047,The Spectator
work:W.1048,The Spirit Of Massoney
work:W.1049,The State Of Innocence
work:W.1050,The Tatler
work:W.1051,Thebais
work:W.1052,Theodore
work:W.1053,Theogonie
work:W.1054,Theorie De La Terre
work:W.1055,Thyestes
work:W.1056,Théagène & Chariclée
work:W.1057,Théodose
work:W.1058,Théologie Physique Ou Démonstration De L’existence Et Des Attributs De Dieu
work:W.1059,Thétis Et Pélée
work:W.1060,Tiranno
work:W.1061,Titles Of Honor
work:W.1062,Tout Céde A L’amour
work:W.1063,Traité De La Manie
work:W.1064,Traité De L’amitié
work:W.1065,Traité De L’education
work:W.1066,Traité De L’éducation Des Enfans
work:W.1067,Traité Des Opinions Des Habitants De La Cité Idéale
work:W.1068,Traité Des Principes De La Foi Chrétienne
work:W.1069,Trattato Del Governo Della Famiglia
work:W.1070,Tribunal Catoniano
work:W.1071,Trionfo Di Bacco
work:W.1072,Tristia
work:W.1073,Trostschrift An Marcia
work:W.1074,Tuscul. Lib. V
work:W.1075,Tusculanae Disputationes
work:W.1076,Tyrannick Love
work:W.1077,Télémaque
work:W.1078,Un Curioso Accidente
work:W.1079,Un Pasagonzalo Á Los Autores Del Memorial Literario
work:W.1080,Una Travesura
work:W.1081,Un’opera In Versi In Lode Del Voltaire
work:W.1082,Urbano Severo
work:W.1083,Utopia
work:W.1084,Variedades
work:W.1085,Variedades De Ciencias
work:W.1086,"Variedades De Ciencias, Literatura Y Artes"
work:W.1087,Variedades Ó Anuncio
work:W.1088,Variӕ Lectiones
work:W.1089,Vas Y Voir
work:W.1090,Veglie Piacevoli
work:W.1091,Vendanges De Surenne
work:W.1092,Venere
work:W.1093,Venezia Liberata
work:W.1094,Versi Virgiliani
work:W.1095,"Vert-vert, Ou Les Voyages Du Perroquet De Nevers"
work:W.1096,Vervet
work:W.1097,Veteri Medicina
work:W.1098,Viaggi Del Gulliver
work:W.1099,Viaggio Sotterraneo Del Klimio
work:W.1100,Virgines Prudentes Et Fatuae
work:W.1101,Vita Di Marianna
work:W.1102,Vita D’arlotto Mainardi Piovano Di Cresci
work:W.1103,Vita Menagiana
work:W.1104,Vitto Pitagorico
work:W.1105,Vocazione Allo Stato Ecclesiastico
work:W.1106,Voglio Appartenenti All’economia Di Villa
work:W.1107,Von Der Dichtkunst
work:W.1108,Von Der Kürze Des Lebens
work:W.1109,Voyage Du Monde De Descartes
work:W.1110,Voyage D’italie
work:W.1111,Voyages Du Chevalier Chardin En Perse Et Autres Lieux De L’orient
work:W.1112,Vulgata
work:W.1113,"Vulgata, Prov. 19"
work:W.1114,Wahre Geschichten
work:W.1115,Weisheitsliteratur
work:W.1116,Werke Und Tage
work:W.1117,Zadig Ou La Destinée
work:W.1118,Zaira
work:W.1119,Zarlino
work:W.1120,Zaïda: Fragments D’une Vie
work:W.1121,Zaïde
work:W.1122,Zaïre
work:W.1123,Zelucco
work:W.1124,Zoroastro
work:W.1125,Zoroastro Re De’battriani
work:W.1126,Zulica
work:W.1127,Zénéïde
work:W.1128,Églé
work:W.1129,Éloge De M. Le Président De Montesquieu
work:W.1130,Émile Ou De L’éducation
work:W.1131,"Épîtres Morales. Essai Sur La Satyre, À La Mémoire De Pope, Par Le Dr Brown"
work:W.1132,Über Den Redner
work:W.1133,Über Die Liebeskunst
work:W.1134,Œuvres Melées De S. Evremont
work:W.1135,Voyage de Messieurs Bachaumont et la Chapelle
work:W.1136,"Richard III, William Shakespeare"
