Titel,Replacement,Typ,Anzahl
Dictionnaire encyclopédique,,,1
Didone,,,1
Digression sur les Anciens & les Modernes,,,1
Discorso sopra la morte di Iacopo Matteo Reinart Mastro calzolaio,,,1
Discours sur la liberté de penser,,,1
"Discours touchant la liberté de penser, occasionné par l’Origine, & par les progrez d’une secte appellée Esprits-forts",,,1
Dissert. crit. sur Hom.,,,1
Dissert. sur l’Iliade,,,1
Dissertation sur le Poëme Epique,,,1
Dizionario,,,2
Dizionario Critico,,,1
Dizionario Istorico Critico,Dizionario Istorico Critico,,7
Dizionario Storico Critico,Dizionario Istorico Critico,,1
Dizionario del James,,,1
Dom Quixote,Don Quichotte,Roman,1
Domenico Maria,,,1
"Don
                                    Quixote",Don Quichotte,Roman,1
"Don
                                Quichotte",Don Quichotte,Roman,1
Don Belianis de Grece,,,1
Don Chisciotte,Don Quichotte,Roman,1
Don Quichotte,Don Quichotte,Roman,1
Don Quixote,Don Quichotte,Roman,1
Dr. Tillotson,,,1
Défense de l’Astrologie,,,2
Défense du Gouvernement Patriarchal,,,1
Délices de Dannemarc,,,1
Délices du Dannemarc,,,1
Démonstration de l’Existence & des Attributs de Dieu,,,1
Démophon,,,1
EL REGAÑON GENERAL,,,1
Eccl.,,,1
Ecl.,,,1
Eclo.,,,1
Eclog.,,,1
Ecloghe,,,1
Eclogue,,,1
Eclogues,,,2
"Ecole du
                                Monde",,,1
Ecriture Sainte,,,2
Ecriture sainte,,,1
Ecritures Saintes,,,1
Edele de Ponthieu,,,1
Edgar,,,1
Edipe,,,1
Edipo,,,1
Edit de Nantes,,,1
Edit de Nîmes,,,1
Edouard,,,2
Eglé,,,1
"El
                                        Gusto del dia",,,1
"El
                                    Traductor",,,1
El Anti-Regañon,,,1
"El Anti-Regañon
                                    general",,,2
"El Castigo de la
                                        miseria",,,1
El Chismoso,,,2
El Correo mercantil de España y sus Indias,,,1
El Curioso Entretenido,,,1
"El Diario de
Madrid",Diario de Madrid,,1
"El Hipócrita
sentimental",,,1
El Olfato de la Noche,,,1
El Paraíso,,,1
"El Regañón de la
Havana",,,1
"El Zeloso
                                    y la Tonta",,,1
El Zeloso y la Tonta,,,1
Elettra,,,1
Eliade,,,1
Elixir salutis,,,1
"Eloge du
                                            Président de Montesquieu",,,1
Elsevir,,,1
Emile,,,2
Emilio,,,1
En,,,1
"En esta
vida todo es verdad y todo es mentira",,,1
En.,,,2
Enchiridion Metaphysicum,,,1
Encyclopedia,,,1
Enea,,,2
Enea nel Lazio,,,1
Eneida,Aeneis,,3
Eneide,Aeneis,,7
Eneidi,Aeneis,,1
Eneïde,Aeneis,,6
Entretenido,,,1
Entretenidos,,,1
Entretiens,,,1
"Entretiens du Diable borgne, & du Diable boiteux",,,1
"Entretiens sur la
                                    pluralité des Mondes",,,1
Enéide,Aeneis,,1
Enéïde,Aeneis,,3
Ep.,,,6
Ep. ad: Fam.,,,1
Ep. lib. I.,,,1
"Ep., V.",,,1
"Ep., lib. II, ep. 1.",,,1
Ephese,,,1
Epig.,,,1
Epist.,,,6
"Epist. VIII, lib. II.",,,1
Epist. XLV,,,1
Epistole,,,1
Epistole poetiche,,,1
Ercole al Bivio,,,2
Esame di un libro sopra la Maremma senese,,,1
"Esclavos
                                        supuestos",,,1
Esculapio,,,1
Esope à la Cour,,,2
Espectador,,,1
Espectador Ingles,,,1
Esposa delinqüente,,,1
Esprit des Loix,,,2
Essai,,,1
"Essai
                                    philosophique sur l’Entendement Humain",,,1
Essai sur l’Entendement Humain,,,1
Essai sur l’amélioration des terres,,,1
Essais,,,4
Essais de Littérature & de Morale,,,1
Essais sur divers sujets,,,1
Essay sur la Satyre,,,2
Esther,,,2
"Estratto da’più celebri autori sì editi che inediti, che hanno trattato della diversa coltivazione, ed usi varj delle patate",,,1
"Estrella
                                        de Sevilla",Estrella de Sevilla,,1
"Estrella de
                                        Sevilla",Estrella de Sevilla,,1
Estrella de Sevilla,Estrella de Sevilla,,2
Etat d’Innocence,,,1
Eugénie,,,1
Evangelio de S. Lucas,,,1
Evangile,,,1
Examen de la Religion,Examen de la religion,,2
Examen de la religion,Examen de la religion,,1
Examen sur la Nature de l’Ame humaine,,,1
"Exod., cap. XXI, v. 16",,,1
Eélmens,,,1
Fables d’Esope,,,3
Faiseurs de bevûes,,,1
Fanatismo,,,1
Farsaglia,,,1
Favola delle tre Melarance,,,1
Favola d’Aristeo,,,1
Fedra,,,1
Femmes Sçavantes,,,3
Feüilles Politiques,,,1
Fierabras,,,1
"Filosofia, ed Amore",,,1
Foglio dell’Intelligenza,,,1
Fostbrædalag,,,1
François à Londres,,,1
Frederigo,,,1
Free-Thinker,,,1
Funerailles,,,1
Galat.,,,1
Galatea,,,1
Gardien,,,2
Gasconniana,,,1
Gazeta,,,4
Gazeta Española ,,,1
"Gazeta de
                                        Madrid",Gazeta de Madrid,,1
Gazeta de Madrid,Gazeta de Madrid,,1
Gazeta literaria,,,1
Gazette,Gazzette,,2
Gazette de Paris,,,1
Gazette des Mœurs,,,1
Gazette rimée d’Amsterdam,,,1
Gazzetta,,,48
Gazzetta Economica,,,1
Gazzetta Veneta,Gazzetta Veneta,,15
Gazzetta veneta,Gazzetta Veneta,,2
Gazzette,Gazzette,,6
Genese,Genesis,,1
Genesis,Genesis,,1
Geor.,,,2
Georg,Georg,,1
Georg.,Georg,,6
"Georg., lib. IV.",,,1
"George
                                Dandin",,,1
Georgica,,,1
Georgiche,,,1
Germania,,,1
Gil-Blas,,,2
Gioanna Shore,,,1
Giorgio Dandino,,,1
Gli errori del Voltaire,,,1
Gongam,,,1
Gordon Grammatica Geografica,,,1
Gorgias,,,1
Gov. della fan.,,,1
Gressier solaire,,,1
Grâces,,,1
Guerre Jugurthine,,,1
Gulliver,,,1
Gustave Vasa,Gustave Vaza,,1
Gustave Vaza,Gustave Vaza,,1
"Gusto
                                        del dia",Gusto del dia,,3
Gusto del dia,Gusto del dia,,1
Hamelet,Hamlet,,2
Hamlet,Hamlet,,2
Heccira,,,1
Henri & Perrine,,,1
Henri VIII,,,1
Henriade,,,3
Herod.,,,1
Hip.,,,1
