Name in XML,Replacement,Typ
Campanile di S. Marco,,Gebäude
Campidoglio,,
Campos,,
Canada,Kanada,Land
Canadà,Kanada,Land
Canal Grande,Canale Grande,Fluss
Canareggio,,
Canarie,Canarie,
Canarie ,Canarie,
Candie,,
Canne,,
Cannes,,Stadt
Cantorbery,,
Cap de Bonne-Espérance,,
Capadoce,Kappadokien,Region
Capitale,,
"Capitale de
                                France",,
Capo,,
Capo Verde,,
Capo corrente,,
Capo di Buona Speranza,Capo di Buona Speranza,
Capo di Buonasperanza,Capo di Buona Speranza,
Cappadocia,Kappadokien,Region
Caprona,,
Caprée,,
Cardigan,,
Carie,,
Carintia,Kärnten,Region
Carranza,,
Carrara,,
Carrisburgh,,
Cartagine,,
Cartago,Karthago,Region
Carthage,Karthago,Region
Carwar,,
Casalmaggiore,,
Caschaughton,,
Casentino,,
Castel maggiore,,
Castelnovo,,
Castilien,Kastilien,Region
Castilla,Kastilien,Region
Castilla la Vieja,,
Castillas,Kastilien,Region
Castille,Kastilien,Region
Castore,,
Cataluña,,
Catchioul,,
Caune,,
Certosa,,
Cervo,,
Cestona,,
Chaillot,,
Chambery,,
Champ de Mars,Champ de Mars,Straße
Champagne,,Region
"Champs
                                    Elisées",Champs Elisées,Straße
"Champs
                                    Elysées",Champs Elisées,Straße
"Champs
                                Elisées",Champs Elisées,Straße
"Champs                               
     Elisées",Champs Elisées,Straße
Champs Elisées,Champs Elisées,Straße
"Champs Elisées
                                ",Champs Elisées,Straße
Champs Elysées,Champs Elisées,Straße
Champs Élisées,Champs Elisées,Straße
Champs-Elisées,Champs Elisées,Straße
Champs-Elysées,Champs Elisées,Straße
Chantilly,,
Charing-Cross,,
Charleroi,,
Cheapside,,
Chelsea,,
Cheshire,,
Chester,,
China,China,Land
Chine,China,Land
Chio,,
Chioggia,,
Chios,,
Chipre,Zypern,Insel
Choczim,,
Chypre,,
Cicladi,,
Cilicia,Kilikien,Region
Cilicie,Kilikien,Region
Cina,China,Land
Cipro,Zypern,Insel
Cirra,,
Cithere,Cithere,
Cithère,Cithere,
Cizica,,
Coblon,,
Cochinchina,,
Cocito,,
Cocyte,,
Colegio de San Cárlos,,
Cologne,,
Compostela,,
Condé,,
Constantinopla,Konstantinopel,Stadt
Constantinople,Konstantinopel,Stadt
Constantinopoli,Konstantinopel,Stadt
Constatinople,Konstantinopel,Stadt
Contrada di San Polo,,
Convent-Garden,Covent-Garden,
Convent-garden,Covent-Garden,
Copenaghen,Kopenhagen,Stadt
Copenhague,Kopenhagen,Stadt
Coppenhague,Kopenhagen,Stadt
Corbia,,
Corfù,,Insel
Corinthe,Korinth,Stadt
Corinti,Korinth,Stadt
Corinto,Korinth,Stadt
Cornouaille,,
Coromandel,,
Costa d’Oro,,
Costantinopoli,Konstantinopel,Stadt
Costanz,,
Cour de Blois,,
Cours-la-Reine,,
Coutras,,
Covent-Garden,Covent-Garden,
Covent-Garden.,Covent-Garden,
Cozco,,
Crema,,
Cremona,,
Crimée,,
Créte,Kreta,Insel
Cumberland,,
Cupers,,
Cupers-garden,,
Cythere,Kythira,Insel
Cytherée,Kythira,Insel
Cythère,Kythira,Insel
Cádiz,Cadiz,
Cô,,
Damas,,
Damasippo,,
Damau,,
Danemarc,Dänemark,Land
Danemarck,Dänemark,Land
Danimarca,Dänemark,Land
Dannemarc,Dänemark,Land
Dannemarck,Dänemark,Land
Dannemark,Dänemark,Land
Dantzig,Danzig,Stadt
Danube,Donau,Fluss
Danzica,Danzig,Stadt
Danzik,Danzig,Stadt
Dauphiné,,
Delagoa,,
Delfo,,
Delmenhorst,,
Delphes,,
Derby,,
Dettingen,Dettingen,
Dettingue,Dettingen,
Deutschland,Deutschland,Land
Deux Siciles,,
Dieppe,,
Dijon,,
Donleroy,,
Dresda,Dresden,Stadt
Dreßden,Dresden,Stadt
Dromore,,
Dronthem,,
Drurilem,,
Drury-Lane,Drury-Lane,Straße
Drury-lane,Drury-Lane,Straße
"Du
                                    Caffé de White",Caffé de White,
Dublin,Dublin,Stast
Dundée,,
Dunkerke,Dünkirchen,Stadt
Dunkerque,Dünkirchen,Stadt
Dunquerque,Dünkirchen,Stadt
Durazzo,,
Dusseldorp,Düsseldorf,Stadt
Ecosse,,
Eden,,
Edimburgo,,Stadt
Efeso,,
Egina,,
Egipte,Ägypten,Land
Egipto,Ägypten,Land
Egitto,Ägypten,Land
Egypte,Ägypten,Land
Egypten,Ägypten,Land
Egypto,Ägypten,Land
Elba,,Insel
Elicona,,
Eliopoli,,
Elisées,,
Ely,,
Empire,,
Empyrée,,
Engelland,England,Land
Ephese,Ephesos,Stadt
Epheso,Ephesos,Stadt
Ephesus,Ephesos,Stadt
Epire,,
Epiro,,
Epsom,,
Epson,,
Equatore,,
Erfurth,,Stadt
Espagne,Spanien,Land
España,Spanien,Land
España ,Spanien,Land
Essex,,
Etats-unis de l’Amérique,,
Eurete,,
Europa,Europa,Kontinent
Europe,Europa,Kontinent
Eáton,,
Fago,,
Fantasianopoli,,
Farsaglia,Farsaglia,
Farsalia,Farsaglia,
Fauxbourg de S. Marceau,,
Fernay,,
Ferney-Païs de Gex,,
Ferrara,,
Fez,,
Fiandra,Fiandra,
Fiandre,Fiandra,
Fiesole,,
Fiesso,,
Fiorentini,,
Fiorenza,Florenz,Stadt
Firenze,Florenz,Stadt
Flandes,Flandern,Region
Flandre,Flandern,Region
Flandres,Flandern,Region
Flessingue,,
Fleurus,,
Florence,Florenz,Stadt
Floresta,,
Fontainebleau,,
Fontenelles,,
Fontenoi,Fontenoy,
Fontenoy,Fontenoy,
Foro,,
Franc-fort sur le Meyn,,
France,Frankreich,Land
Francfort,Frankfurt,Stadt
Francia,Frankreich,Land
Franckfurt,Frankfurt,Stadt
Freyburg,Freiburg,Stadt
Frise,,
Fulham,,
Funchial,,
Furnes,,
Fusina,,
"G.
                                                Bretagne",Bretagne,Region
Gaeta,,
Gales,,
Galias,,
