Name in XML,Replacement,Typ
Shorham ,Shorham,
Siam,,
Siberia,Sibirien,Region
Siberie,Sibirien,Region
Sibérie,Sibirien,Region
Sichem,,
Sicile,Sizilien,Insel
Sicilia,Sizilien,Insel
Siena,,Stadt
Sierra-Morena,,
Sigüenza,,
Silesia,Silesia,
Silésie,Silesia,
Sinigaglia,,
Sion,,
Siracusa,Syrakus,Stadt
Siria,Syrien,Land
Sissa,,
Smallande,,
Smyrne,,
Sodome,,
Soissons,,
Sommerset,,
Sorbonne,,
Sore,,
Sorrento,,
Soröe,,
Souri,,
Spa,,
Spagna,Spagna,
Spagne,Spagna,
Sparta,Sparta,Region
Sparte,Sparta,Region
Spaw,,
Spithead,,
St. James,,
Stade,,
Stafford,,
Stepney,,
Stiria,,
Stockholm,Stockholm,Stadt
Stocks-Market,,
Stokbolm,Stockholm,Stadt
Stokholm,Stockholm,Stadt
Strand,,
Strasbourg,Strassburg,Stadt
Suede,Schweden,Land
Suisse,Schweiz,Land
Suiza,Schweiz,Land
Sumatra,Sumatra,Insel
Surat,,
Surate,,
Surry,,
Susa,,
Susiane,,
Suède,Schweden,Land
Suéde,Schweden,Land
Svezia,Schweden,Land
Svizzera,Schweiz,Land
Swansea,,
Sybérie,Sibirien,Region
Syracuse,Syrakus,Stadt
Syrie,Syrien,Land
Séville,Sevilla,Stadt
Tamise,,
Tarente,,
Taro,,
Tartaria,,
Tavola,,
Tebas,,
Tebe,,
Tempe,,
Temple de Saint Paul,,
Tergoes,,
Ternate,,
Terraglio,,
Terres Australes,,
Tessaglia,,
Tetide,,
Teutschland,Deutschland,Land
Teverone,,
Texel,,
Thesy,,
Thrace,,
Thuileries,Thuilleries,
Thuilleries,Thuilleries,
Thébes,,
Tibre,Tibre,
Tiro,,
Tirzah,Mont Tirzah,Berg
Tivoli,Tivoli,
Todi,,
Tokai,,
Tolede,,
Topoy Turvy,Topoy Turvy,
Topoy-Turvy,Topoy Turvy,
Torbek,,
Torcello,,
Torino,,
Toscana,Toskana,Region
Toscane,Toskana,Region
Tosco,,
Toscone,,
Toul,,
Toulon,,
Tours,,
Tracia,,
Tranquebar,,
Transilvanie,,
Trebbia,Trebbia,
Trebia,Trebbia,
Trent,,
Trente,,
Trento,,
Treviso,,
Tricutte,,
Trieste,,
Trinquebar,,
Tripoli,Tripolis,
Tripolis,Tripolis,
Tristan d’Aucugna,,
Troia,Troja,Stadt
Troie,Troja,Stadt
Troja,Troja,Stadt
Troya,Troja,Stadt
Troye,Troja,Stadt
Trèves,,
Tucuman,,
Tuileries,Thuilleries,
Tuilleries,Thuilleries,
Tumbridge,,
Tunbridge,,
Tunis,,Stadt
Turin,Turin,Stadt
Turino,Turin,Stadt
Turquie,Türkei,Land
Turquïe,Türkei,Land
Twede,,
Tybre,Tibre,
Tyburn,,
Ténare,,
Tívoli,Tivoli,
Ucraina,Ukraine,Land
Udine,Udine,Stadt
Uliveto,,
Ungarn,Ungarn,Land
Ungheria,Ungarn,Land
Upsal,,Stadt
Uranibourg,,
Utrecht,,Stadt
Val di Tempe,,
Val-de-Grace,,
Valachie,,
Valbona,,
Valencia,Valencia,Stadt
Valenciennes,Valencia,Stadt
Valhalla,,
Valladolid,,Stadt
"Valle de
                                        Carranza",Valle de Carranza,Straße
Valle de Carranza,Valle de Carranza,Straße
Varnes,,
Varsovie,,
Vatican,Vatikan,Land
Vaticano,Vatikan,Land
Vauréas,,
Vaux-Hall,Vaux-Hall,
Vaux-hall,Vaux-Hall,
Vauxall,Vaux-Hall,
Vauxhall,Vaux-Hall,
Vendée,,
Venedig,Venedig,Stadt
Veneto,,
Venezia,Venedig,Stadt
Venise,Venedig,Stadt
Verdun,,Stadt
Vermanton,,
Vernon,,
Verona,,Stadt
Versailles,,Stadt
Verulamio,,
Vestminster,Westminster,
Vesuvio,Vesuv,Berg
Vicenza,,
Vienna,Wien,Stadt
Vienne,Wien,Stadt
Vigan,,
Vigna,,
Vigo,,
Villaverla,,
Villers-Cotterets,,
Vincennes,,
Vinegia,,
Virginia,,
Vismar,,
Vizcaya,,
Vésuve,Vesuv,Berg
Wales,,Region
Wapping,,
Wattes,,
Wauhsal,Vaux-Hall,
Wauxhal,Vaux-Hall,
Wauxhal de Torré,Vaux-Hall,
Wauxhall de Torré,Vaux-Hall,
Wellingborough,,
Wernemunde,,
Westminster,Westminster,
Westmunster,Westminster,
Whight,,
White-hall,Whitehall,
Whitechapel,,
Whitehall,Whitehall,
Wien,Wien,Stadt
Wienn,Wien,Stadt
Wilt-shire,,
Winchester,,
Wismar,,
Witehall,Whitehall,
Wittenberg,,
Woodstock,,
Wésel,,
Yedo,,
Yepes,,
York,,
York Buldings,,
Ypres,,
Ysted,,
Zambra,,
Zamora,,
Zaragoza,,
Zelande,,
Zoldo,,
Zurigo,Zürch,Stadt
Zélande,,
Zürch,Zürch,Stadt
barberia,,
bois de Vincennes,,
caffé de Will,,
calle de Cerchieri,,Straße
champ de Mars,Champ de Mars,Straße
champs Elisées,Champs Elisées,Straße
champs Elizées,Champs Elisées,Straße
convento de Yuste,,
côtes de Barbarie,,
"el
                                        Colegio de San Cárlos",,
el Retiro,,
empire Romain,Römisches Reich,
empire romain,Römisches Reich,
europe,Europa,Kontinent
faubourg Saint-Antoine,fauxbourg Saint-Antoine,
fauxbourg S. Germain,,
fauxbourg S. Marceau,,
fauxbourg Saint-Antoine,fauxbourg Saint-Antoine,
fiorentina,Florenz,Stadt
fiorentine,Florenz,Stadt
fiorentini,Florenz,Stadt
fiorentino,Florenz,Stadt
grande Bretagne,Bretagne,Region
il Fiesole de’ Livornesi,,
il canal grande,Canale Grande,Fluss
india,Indien,Land
italiana,Italien,Land
italiani,Italien,Land
jardin du Luxembourg,jardin du Luxembourg,
jardin du palais royal,Jardin du Palais Royal,
jardins de Ranelagh,,
jardins du Luxembourg,jardin du Luxembourg,
"la
                                            Haye",La Haye,
"la
                                        Ñora",,
"la
                                    Haye",La Haye,
"la
                                Haye",La Haye,
"la
                                Moscovie",Moskau,Stadt
"la
                                Rochelle",Rochelle,
la Cité,,
la Fleche,la Fleche,
la Fléche,la Fleche,
la Goulette,,
la Haie,La Haye,
la Havana,Havana,Stadt
la Havana ,Havana,Stadt
la Haye,La Haye,
la Haïe,La Haye,
la Mancha,Mancha,Region
la Manche,Mancha,Region
la Mecque,,
la Península,Peninsula,
la Porte,,
"la Puerta
                                    del Sol",la Puerta del Sol,
"la Puerta                                
    del Sol",la Puerta del Sol,
la Puerta del Sol,la Puerta del Sol,
la Rochelle,Rochelle,
la calle de Alcalá,,Straße
la del Turco,,
las Américas,Amerika,Kontinent
"le Mont
                                    Etna",Etna,Berg
"le Quartier de la
                                    Nouvelle Forêt",,
le mont Liban,,
los Caños,,
l’Apennino,,Gebirge
l’Eglise de S. Clement,,
l’Eglise de St. Paul,,
l’Hopital de St. Thomas,,
l’Ile de Falster,,
l’Isle da Malthe,Malta,Insel
l’Isle de Malthe,Malta,Insel
l’Olimpo,Olymp,Berg
l’hôpital de Moorfields,,
marchigiani,,
maremma,Maremma,
maremme,Maremma,
mont Tirzah,Mont Tirzah,Berg
"monte
                                Ida",Mont Ida,Berg
monte Jura,,
monte Parnaso,Parnasso,
napoletani,Neapel,Stadt
nouvelle Zemble,,
palais-royal,Palais Royal,
parc de St.,,
petit Hôtel du Luxembourg,,
petite Bretagne,,
place de Greve,,
place de Paris,,
ponte di Rialto,Ponte di Rialto,Gebäude
ponte di San Polo,,
porte Saint Denis,,
porte du Temple,,
"puerto de
                                    Guadarrama",,
quarré de Grosvenor,,
republique Romaine,Repubblica Romana,
riva del Carbone,,
romagnoli,,
romana,,
romani,,
romano,,
rothen Collegio,,
rue Mêlée,,
rue Pagevin,,
rue Saint-Denis,,
rue Vivienne,,
rue de Great Russel,,
rue du Temple,,
république Romaine,Repubblica Romana,
république de Venise,,
république françoise,,
saint Quentin,,
théatre de Drulynane,,
toscana,Toskana,Region
toscane,Toskana,Region
toscani,Toskana,Region
toscano,Toskana,Region
tuileries,Thuilleries,
valle de Mena,,
via delle Merci,,
§!!Inghilterra,England,Land
Ägypten,Ägypten,Land
Æthna,Etna,Berg
Égypte,Ägypten,Land
Ñora,,
ámbas Américas,,
